,datetime,wind_speed,wind_dir,stability,simulation_info,SouthBracket_retro,LandBridge_retro,NorthEastBracket_retro,SouthBracket_point_sensor,LandBridge_point_sensor,NorthEastBracket_point_sensor,EC_tower_point_sensor
0,2024-01-04 16:00:00,2.2988,36.8451,F,"{'u_mag': 2.2988, 'u_dir': 4.069320672158127, 'stability': 'F', 'max_beam_info': {'retro_index': 0, 'max_concentration': 0.23275918317836355, 'max_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 0.23275918317836355, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 0.23275918317836355}, {'retro_index': 1, 'max_local_concentration': 2.6080514594525718e-05, 'max_local_concentration_location': array([-1882.010001  ,  1036.15161516,     2.06657066]), 'end_of_beam_concentration': 7.644283224907282e-19}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",0.0009499669754443396,2.9200803032813336e-08,0.0,0.23275918317836344,7.64428322490722e-19,0.0,0.001882510634721583
1,2024-01-04 16:30:00,2.42443,33.6423,F,"{'u_mag': 2.42443, 'u_dir': 4.125220077441002, 'stability': 'F', 'max_beam_info': {'retro_index': 0, 'max_concentration': 0.4062213643325269, 'max_concentration_location': array([-2.07367647e+03,  7.44806281e+02,  1.50621262e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 0.4062213643325269, 'max_local_concentration_location': array([-2.07367647e+03,  7.44806281e+02,  1.50621262e+00]), 'end_of_beam_concentration': 0.3937572813419448}, {'retro_index': 1, 'max_local_concentration': 2.3560551584742715e-06, 'max_local_concentration_location': array([-1880.87648765,  1035.52755276,     2.20385239]), 'end_of_beam_concentration': 6.276146821256156e-26}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",0.0039767506885859585,2.5939379221842602e-09,0.0,0.39375728134194465,6.276146821256099e-26,0.0,3.3172530250125926e-06
2,2024-01-04 17:00:00,2.79297,40.0965,F,"{'u_mag': 2.79297, 'u_dir': 4.012573036858783, 'stability': 'F', 'max_beam_info': {'retro_index': 0, 'max_concentration': 0.013209122472171585, 'max_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 0.013209122472171585, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 0.013209122472171585}, {'retro_index': 1, 'max_local_concentration': 0.0002079407425357354, 'max_local_concentration_location': array([-1883.33243324,  1036.87968797,     1.90640864]), 'end_of_beam_concentration': 3.7386417509689617e-13}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",3.097419848420863e-05,2.388069703410648e-07,0.0,0.013209122472171578,3.7386417509689355e-13,0.0,0.10148912319426405
3,2024-01-04 17:30:00,2.85307,45.325,F,"{'u_mag': 2.85307, 'u_dir': 3.92131849691826, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.005859429012311639, 'max_concentration_location': array([-1.88522162e+03,  1.03791979e+03,  1.67760576e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 1.7590614564508e-06, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 1.7590614564508e-06}, {'retro_index': 1, 'max_local_concentration': 0.005859429012311639, 'max_local_concentration_location': array([-1.88522162e+03,  1.03791979e+03,  1.67760576e+00]), 'end_of_beam_concentration': 2.0937309406848333e-06}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",2.330435261317611e-09,7.02906033148844e-06,0.0,1.7590614564507992e-06,2.093730940684818e-06,0.0,1.0176279261059638
4,2024-01-04 18:00:00,2.38727,44.2885,F,"{'u_mag': 2.38727, 'u_dir': 3.939408834615181, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.003721444150295741, 'max_concentration_location': array([-1.88484378e+03,  1.03771177e+03,  1.72336634e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 1.965440422202527e-05, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 1.965440422202527e-05}, {'retro_index': 1, 'max_local_concentration': 0.003721444150295741, 'max_local_concentration_location': array([-1.88484378e+03,  1.03771177e+03,  1.72336634e+00]), 'end_of_beam_concentration': 1.9309535481095745e-07}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",2.8627561109166945e-08,4.417041817766233e-06,0.0,1.965440422202526e-05,1.9309535481095613e-07,0.0,1.1699593125941639
5,2024-01-04 18:30:00,2.36466,47.909,F,"{'u_mag': 2.36466, 'u_dir': 3.8762191890467266, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.031520372532553784, 'max_concentration_location': array([-1.88616622e+03,  1.03843984e+03,  1.56320432e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 2.750762728035363e-09, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 2.750762728035363e-09}, {'retro_index': 1, 'max_local_concentration': 0.031520372532553784, 'max_local_concentration_location': array([-1.88616622e+03,  1.03843984e+03,  1.56320432e+00]), 'end_of_beam_concentration': 0.0005283162298777822}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",2.9497953079576325e-12,3.897585091487965e-05,0.0,2.7507627280353613e-09,0.0005283162298777784,0.0,0.5464061169139267
6,2024-01-04 19:00:00,2.29531,49.6069,F,"{'u_mag': 2.29531, 'u_dir': 3.8465852436771146, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.0816301548210807, 'max_concentration_location': array([-1.88692189e+03,  1.03885589e+03,  1.47168317e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 1.490518959195737e-11, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 1.490518959195737e-11}, {'retro_index': 1, 'max_local_concentration': 0.0816301548210807, 'max_local_concentration_location': array([-1.88692189e+03,  1.03885589e+03,  1.47168317e+00]), 'end_of_beam_concentration': 0.008373329135721811}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",1.4116664777298476e-14,0.0001016187173828422,0.0,1.490518959195736e-11,0.008373329135721752,0.0,0.16263420684923563
7,2024-01-04 19:30:00,2.22047,52.2312,F,"{'u_mag': 2.22047, 'u_dir': 3.8007825681170275, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.31281762567062005, 'max_concentration_location': array([-1.88805541e+03,  1.03947995e+03,  1.33440144e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 1.055534084974021e-15, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 1.055534084974021e-15}, {'retro_index': 1, 'max_local_concentration': 0.31281762567062005, 'max_local_concentration_location': array([-1.88805541e+03,  1.03947995e+03,  1.33440144e+00]), 'end_of_beam_concentration': 0.18546587752375224}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",8.38688321001718e-19,0.0003540190242404598,0.0,1.0555340849740203e-15,0.1854658775237509,0.0,0.007965689996347017
8,2024-01-04 20:00:00,2.23215,49.427,F,"{'u_mag': 2.23215, 'u_dir': 3.8497250910014524, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.07602651780153208, 'max_concentration_location': array([-1.88692189e+03,  1.03885589e+03,  1.47168317e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 2.766218276176752e-11, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 2.766218276176752e-11}, {'retro_index': 1, 'max_local_concentration': 0.07602651780153208, 'max_local_concentration_location': array([-1.88692189e+03,  1.03885589e+03,  1.47168317e+00]), 'end_of_beam_concentration': 0.006630749691318241}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",2.6533980816548362e-14,9.505228336101167e-05,0.0,2.7662182761767503e-11,0.006630749691318195,0.0,0.1959553758373215
9,2024-01-04 20:30:00,1.72527,45.0456,F,"{'u_mag': 1.72527, 'u_dir': 3.926194946848332, 'stability': 'F', 'max_beam_info': {'retro_index': 1, 'max_concentration': 0.008146794190367821, 'max_concentration_location': array([-1.88503270e+03,  1.03781578e+03,  1.70048605e+00])}, 'beam_info_list': [{'retro_index': 0, 'max_local_concentration': 5.441552048967125e-06, 'max_local_concentration_location': array([-2.077e+03,  7.460e+02,  1.140e+00]), 'end_of_beam_concentration': 5.441552048967125e-06}, {'retro_index': 1, 'max_local_concentration': 0.008146794190367821, 'max_local_concentration_location': array([-1.88503270e+03,  1.03781578e+03,  1.70048605e+00]), 'end_of_beam_concentration': 1.7781936944987986e-06}, {'retro_index': 2, 'max_local_concentration': 0.0, 'max_local_concentration_location': array([  0.,   0., 230.]), 'end_of_beam_concentration': 0.0}]}",7.390817715095017e-09,9.790822977341607e-06,0.0,5.441552048967122e-06,1.7781936944987857e-06,0.0,1.699784209553658
